

"Cable Connection Report"
"Save Time: 2013/08/26 09:34:40"
"User Name:admin"
""

"Total 605 Records"

"Name","Level/Capacity","Rate (bit/s)","Direction","Source NE","Source Port","Sink NE","Sink Port","Length (km)","Designed Attenuation(EOL)","Fiber/Cable Type","Medium Type","Creation Time","Creator","Maintainer","Remarks","Alarm Severity","Disabled Status","Alarm Generation Time"
f-32,STM-1,--,Two-Fiber Bidirectional,NPM-022,1-OI2S-1(NPM-002),NPM-002,12-SD1-2(NPM-022),1.0,0.0,Fiber,G.652,2012/09/27 07:09:05,noppadolt,noppadolt,-,Normal,Enable,-
f-33,STM-1,--,Two-Fiber Bidirectional,NPM-018,12-SD1-2(NPM-017),NPM-017,1-OI2S-1(NPM-018),1.0,0.0,Fiber,G.652,2012/09/27 07:10:36,noppadolt,noppadolt,-,Normal,Enable,-
f-79,STM-1,--,Two-Fiber Bidirectional,SNK-010,5-SD1-1(SNK-009),SNK-009,2-OI2S-1(SNK-010),1.0,0.0,Fiber,G.652,2012/10/01 07:46:38,noppadolt,noppadolt,-,Critical,Enable,2013/05/09 18:40:20
f-5,STM-1,--,Two-Fiber Bidirectional,MKM-007,3-SD1-2(MKM-022),MKM-022,1-OI2D-1(MKM-007),1.0,0.0,Fiber,G.652,2012/10/01 09:42:55,admin,admin,"use core NO.21,22,( project kk-sarakarm 24 core ) BJ out core 3,4 / in core 11,12 ( project thai-sato )",Normal,Enable,-
f-80,STM-1,--,Two-Fiber Bidirectional,SNK-010,6-SD1-2(SNK-018),SNK-018,2-OI2S-1(SNK-010),1.0,0.0,Fiber,G.652,2012/10/02 06:54:13,noppadolt,noppadolt,-,Normal,Enable,-
f-82,STM-1,--,Two-Fiber Bidirectional,SNK-012,2-OI2S-1(NPM-004),NPM-004,1-OI2S-1(SNK-012),1.0,0.0,Fiber,G.652,2012/10/08 06:09:34,noppadolt,noppadolt,-,Normal,Enable,-
f-1,10GE_WAN,--,Two-Fiber Bidirectional,8029_KKN-015_H,8-N2PEX1-1(PORT-1),8054_KKN-004,8-N2PEX1-1(PORT-1),1.0,0.0,Fiber,G.652,2012/12/17 21:10:36,admin,admin,-,Normal,Enable,-
f-2,10GE_WAN,--,Two-Fiber Bidirectional,8053_NMA_021,7-N2PEX1-1(PORT-1),8054_KKN-004,11-N2PEX1-1(Port-1),1.0,0.0,Fiber,G.652,2012/12/18 17:55:25,admin,admin,-,Normal,Enable,-
f-3,10GE_WAN,--,Two-Fiber Bidirectional,8052_NMA-017_H,11-N2PEX1-1(PORT-1),8053_NMA_021,12-N2PEX1-1(PORT-1),1.0,0.0,Fiber,G.652,2012/12/19 18:13:35,admin,admin,-,Normal,Enable,-
f-4,10GE_WAN,--,Two-Fiber Bidirectional,8052_NMA-017_H,8-N2PEX1-1(PORT-1),8051_NMA-020_H,7-N2PEX1-1(PORT-1),1.0,0.0,Fiber,G.652,2012/12/20 22:36:06,admin,admin,O/F BFKT-3G,Normal,Enable,-
